Cod;Provincia;Esperanza de vida
2;Albacete;82.99
3;Alicante;82.62
4;Almería;81.31
1;Araba;84.13
33;Asturias;82.46
5;Ávila;83.41
6;Badajoz;82.29
7;Balears, Illes;82.9
8;Barcelona;83.69
48;Bizkaia;83.39
9;Burgos;83.87
10;Cáceres;82.53
11;Cádiz;81.44
39;Cantabria;83.06
12;Castellón;82.57
13;Ciudad Real;82.95
14;Córdoba;81.94
15;A Coruña;83.11
16;Cuenca;83.09
20;Gipuzkoa;83.39
17;Girona;83.02
18;Granada;82.67
19;Guadalajara;83.72
21;Huelva;81.59
22;Huesca;82.94
23;Jaén;81.72
24;León;83.29
25;Lleida;83.01
27;Lugo;83.23
28;Madrid;84.76
29;Málaga;82.15
30;Murcia;82.05
31;Navarra;83.85
32;Ourense;83.58
34;Palencia;82.27
35;Las Palmas;81.56
36;Pontevedra;83.26
26;La Rioja;83.2
37;Salamanca;84.12
38;Santa Cruz de Tenerife;82.01
40;Segovia;84.41
41;Sevilla;81.74
42;Soria;83.29
43;Tarragona;82.86
44;Teruel;83.14
45;Toledo;83.77
46;Valencia;82.34
47;Valladolid;84.09
49;Zamora;83.62
50;Zaragoza;83.07
51;Ceuta;79.71
52;Melilla;81.55
